,split,source_language,target_language
1985,train,i 'm disgusted .,je suis dégoûté .
1986,train,i 'm as shocked as you are .,je suis aussi choquée que vous .
1987,train,i 'm going back inside .,je retourne à l'intérieur .
1988,train,i 'm trying to remember .,j'essaie de me rappeler .
1989,train,i 'm ashamed .,j'ai honte .
1990,train,i 'm glad to be the one who tells you .,je me réjouis d'être celui qui te le dit .
1991,train,i 'm not desperate .,je ne suis pas désespéré .
1992,train,i 'm just waiting for a friend .,j'attends juste une amie .
1993,train,i 'm very glad i was n't there .,je suis très content de ne pas avoir été là .
1994,train,i 'm afraid you misunderstood me .,je crains que tu m'aies mal compris .
1995,train,i 'm sorry if my being here embarrasses you .,je suis désolé si ma présence vous embarrasse .
1996,train,i 'm playing with my cat .,je suis en train de jouer avec ma chatte .
1997,train,i 'm here every night .,je suis ici tous les soirs .
1998,train,i 'm weak .,je suis faible .
1999,train,i 'm sorry you got dragged into this .,je suis désolé que tu aies été entraîné là-dedans .
2000,train,i 'm bald .,je suis chauve .
2001,train,i 'm not going to stay if you do n't want me to .,je ne vais pas rester si vous ne le voulez pas .
2002,train,i 'm going to explain all this in more detail later .,je vais vous expliquer tout cela plus en détail ultérieurement .
2003,train,i 'm truthful .,je dis la vérité .
2004,train,"i 'm sorry , i do n't recognize you .","je suis désolée , je ne vous reconnais pas ."
2005,train,i 'm sorry but i forgot to do the homework .,je suis désolée mais j'ai oublié de faire les devoirs .
2006,train,i 'm strong .,je suis forte .
2007,train,i 'm done thinking .,j'en ai marre de penser .
2008,train,i 'm sure this is just a misunderstanding .,je suis convaincue qu'il s'agit d'un malentendu .
2009,train,i 'm not your friend .,je ne suis pas votre amie .
2010,train,i 'm voting no .,je vote non .
2011,train,i 'm not sure i believe you .,je ne suis pas sûr de te croire .
2012,train,i 'm concerned .,je suis préoccupée .
2013,train,i 'm often only half awake .,je ne suis souvent qu ' à moitié réveillé .
2014,train,i 'm the only one who survived .,je suis le seul à avoir survécu .
2015,train,i 'm the youngest in the family .,je suis la plus jeune enfant .
2016,train,i 'm glad that makes you happy .,je suis content que ça vous rende heureux .
2017,train,i 'm not good at telling jokes .,je ne suis pas doué pour raconter des blagues .
2018,train,i 'm very worried about you .,je suis très inquiet à votre sujet .
2019,train,i 'm ready when you are .,je suis prêt quand tu l'es .
2020,train,i 'm listening to you .,je vous écoute .
2021,train,i 'm your sister .,je suis votre sœur .
2022,train,i 'm concerned with tom 's safety .,je me fais du soucis par rapport à la sécurité de tom .
2023,train,i 'm sure you do n't want to do that .,je suis certaine que tu ne veux pas faire ça .
2024,train,i 'm not wearing socks .,je ne porte pas de chaussettes .
2025,train,i 'm looking for the perfect spot to hang this picture .,je cherche l'emplacement idéal pour accrocher cette photo .
2026,train,i 'm behind schedule .,je suis en retard .
2027,train,i 'm beginning to smell a rat .,je commence à sentir que quelque chose ne va pas .
2028,train,i 'm beginning to miss my girlfriend .,je commence à me languir de ma petite amie .
2029,train,i 'm all by myself .,je suis tout seul .
2030,train,i 'm sort of tired .,je suis en quelque sorte fatigué .
2031,train,i 'm freezing cold .,je crève de froid .
2032,train,i 'm tired of playing games .,j'en ai assez de jouer .
2033,train,i 'm tougher than you think .,je suis plus solide que tu ne le penses .
2034,train,i 'm attentive .,je suis attentif .
2035,train,i 'm in the bathtub .,je suis dans la baignoire .
2036,train,i 'm living my dream .,je vis mon rêve .
2037,train,i 'm ugly .,je suis laid .
2038,train,i 'm at your disposal .,je suis à ta disposition .
2039,train,i 'm often in trouble .,je suis souvent en difficulté .
2040,train,i 'm making progress .,je fais des progrès .
2041,train,i 'm learning so much from you .,j'apprends tant de vous .
2042,train,"i 'm sorry , i do n't speak french .","je suis désolé , je ne parle pas français ."
2043,train,i 'm sorry . i 'll do anything to make this right .,je suis désolé . je ferai n'importe quoi pour réparer cela .
2044,train,i 'm glad you could make it .,je suis ravi que vous ayez pu le faire .
2045,train,i 'm fasting .,je suis à la diète .
2046,train,i 'm not eating this fish .,je ne vais pas manger ce poisson .
2047,train,i 'm always forgetting people 's names .,j 'oublie toujours le nom des gens .
2048,train,i 'm looking forward to it .,j'attends cela avec impatience .
2049,train,i 'm humming .,je fredonne .
2050,train,i 'm not taking sides .,je ne vais pas prendre parti .
2051,train,i 'm certain .,je suis certain .
2052,train,i 'm watching you .,je t'observe .
2053,train,i 'm not going to look .,je ne vais pas regarder .
2054,train,i 'm too tired to argue .,je suis trop fatigué pour me disputer .
2055,train,i 'm just glad no one was killed .,je suis content que personne n'ait été tué .
2056,train,i 'm going to the country with my friends .,je vais à la campagne avec mes amis .
2057,train,i 'm sure you wo n't disappoint me .,je suis certain que vous ne me décevrez pas .
2058,train,i 'm sure i turned off the gas .,je suis sûr d'avoir fermé le gaz .
2059,train,i 'm not the boss .,je ne suis pas le patron .
2060,train,i 'm proud to have him as a friend .,je suis fier de le tenir pour ami .
2061,train,i 'm afraid she will fail .,j'ai bien peur qu'elle va échouer .
2062,train,i 'm really unhappy about this .,je suis vraiment malheureux à ce sujet .
2063,train,i 'm taking care of my grandfather,je m'occupe de mon grand-père .
2064,train,i 'm not sure when tom will be back .,je ne suis pas sûr de quand tom va revenir .
2065,train,i 'm disappointed in you .,tu me déçois .
2066,train,"i 'm sorry , but it 's impossible .",je suis désolé mais c'est impossible .
2067,train,i 'm resentful .,j'éprouve du ressentiment .
2068,train,i 'm lucky .,je suis chanceuse .
2069,train,i 'm really hungry . i have n't eaten all week .,j'ai vraiment faim . je n'ai pas mangé de toute la semaine .
2070,train,i 'm in my underwear .,je suis en sous-vêtements .
2071,train,i 'm going to teach you a lesson .,je vais vous donner une leçon .
2072,train,i 'm not doing it anymore .,je ne le fais plus .
2073,train,i 'm not jealous .,je ne suis pas jalouse .
2074,train,i 'm old enough .,je suis suffisamment grand .
2075,train,i 'm not supposed to tell anyone about it .,je ne suis pas censé en informer qui que ce soit .
2076,train,i 'm restless .,je ne tiens pas en place .
2077,train,i 'm adamant that you should go .,j'insiste que vous devez partir .
2078,train,i 'm happy you two are friends again .,je suis heureux que tous deux soyez à nouveau amis .
2079,train,i 'm really proud of you .,je suis réellement fière de toi .
2080,train,i 'm not going to die .,je ne vais pas mourir .
2081,train,i 'm lazy .,je suis paresseux .
2082,train,i 'm wet .,je suis mouillée .
2083,train,i 'm going to run a couple of errands . wan na tag along ?,je vais faire des courses . tu veux me suivre ?
2084,train,i 'm not discouraged .,je ne suis pas découragé .
2085,train,i 'm beginning to think that i should n't have enlisted in the army .,je commence à penser que je n'aurais pas dû m'enrôler dans l'armée .
2086,train,i 'm aware of the difficulties .,je me rends compte des difficultés .
2087,train,i 'm very worried about your health .,je me fais beaucoup de souci au sujet de votre santé .
2088,train,i 'm leaving town for a few days .,je quitte la ville pour quelques jours .
2089,train,i 'm finishing my homework .,je finis mes devoirs .
2090,train,i 'm not as smart as you .,je ne suis pas aussi malin que toi .
2091,train,i 'm ready to go now .,je suis prêt à y aller maintenant .
2092,train,i 'm not really that interested .,je n ' y suis pas vraiment si intéressée .
2093,train,i 'm capable of making my own decisions .,je suis capable de faire mes propres choix .
2094,train,i 'm expecting a customer today .,j'attends un client aujourd'hui .
2095,train,"i 'm your boyfriend , are n't i ?","je suis ton petit ami , n'est-ce pas ?"
2096,train,i 'm feeling dizzy .,j'ai la tête qui tourne .
2097,train,i 'm sorry for what i have done .,je suis désolé pour ce que j'ai fait .
2098,train,i 'm forgetful .,je suis étourdie .
2099,train,i 'm a total wreck .,je suis une vraie loque .
2100,train,i 'm sure you 'll tell me what i want to know .,je suis sûre que tu me raconteras ce que je veux savoir .
2101,train,i 'm starting to get used to living here .,je commence à m'habituer à vivre ici .
2102,train,i 'm not a bit tired .,je ne suis pas du tout fatigué .
2103,train,i 'm just curious .,je suis juste curieuse .
2104,train,i 'm glad to see you in one piece .,heureux de vous voir en un seul morceau !
2105,train,i 'm not a drug addict .,je ne suis pas une toxico .
2106,train,i 'm asking you to tell me how you feel .,je te demande de me dire comment tu te sens .
2107,train,i 'm not a child .,je ne suis pas une enfant .
2108,train,i 'm not good at this .,je ne suis pas bon là-dedans .
2109,train,i 'm absolutely sure !,j ’ en suis sûre et certaine !
2110,train,i 'm being paid to do this .,je suis payée pour faire ça .
2111,train,i 'm well aware of that .,je suis bien conscient de ça .
2112,train,i 'm not running away .,je ne m'enfuis pas .
2113,train,i 'm still not ready yet .,je ne suis pas encore prêt .
2114,train,i 'm not deaf .,je ne suis pas sourde .
2115,train,"i 'm at work now , so i 'll call you later .","je suis au travail maintenant , aussi je vous appellerai plus tard ."
2116,train,i 'm glad to be the one who tells you .,je me réjouis d'être celui qui vous le dit .
2117,train,i 'm getting better .,je me remets .
2118,train,i 'm calling from tom 's mobile phone .,j'appelle depuis le téléphone portable de tom .
2119,train,i 'm just not sure .,je n'en suis simplement pas sûre .
2120,train,i 'm looking for an old man .,je cherche un vieil homme .
2121,train,i 'm tired of working a nine-to-five job .,je suis fatigué d'avoir des horaires de travail neuf heures-cinq heures .
2122,train,i 'm certain that he 'll come .,je suis sûr qu'il viendra .
2123,train,i 'm very interested in the job .,je suis très intéressé par le poste .
2124,train,i 'm exhausted .,je suis fourbu .
2125,train,i 'm glad someone agrees with me for once .,"je suis heureux que quelqu'un soit d'accord avec moi , pour une fois ."
2126,train,i 'm sure that is the truth .,je suis certain qu'il s'agit de la vérité .
2127,train,i 'm done with it .,j'en ai fini .
2128,train,i 'm going to bed .,je vais me coucher !
2129,train,i 'm looking for a french penpal .,je cherche un correspondant français .
2130,train,i 'm going to get married .,je vais être mariée .
2131,train,i 'm not hurt .,je ne suis pas blessé .
2132,train,i 'm allergic to cats .,je suis allergique aux chats .
2133,train,i 'm not worried about money .,je ne me fais pas de soucis pour l'argent .
2134,train,i 'm going to hang up now .,je vais maintenant raccrocher .
2135,train,i 'm going to hide somewhere near here .,je vais me dissimuler quelque part près d'ici .
2136,train,i 'm expecting a call .,j'attends un coup de fil .
2137,train,i 'm extremely fat .,je suis extrêmement gras .
2138,train,i 'm planning on staying at his place tomorrow .,j'envisage de rester chez lui demain .
2139,train,i 'm sorry i shot you .,je suis désolé de t'avoir tiré dessus .
2140,train,i 'm glad to see you 're ok .,je me réjouis de voir que vous allez bien .
2141,train,i 'm almost as tall as tom .,je suis presque aussi grand que tom .
2142,train,i 'm willing to accept your offer .,je suis d'accord d'accepter votre offre .
2143,train,i 'm looking for a house .,je recherche une maison .
2144,train,i 'm afraid of the dark .,j'ai peur de l'obscurité .
2145,train,i 'm always thirsty .,j'ai toujours soif .
2146,train,i 'm a little child .,je suis une petite enfant .
2147,train,i 'm assuming you have a plan .,je suppose que vous disposez d'un plan .
2148,train,i 'm a pretty good student .,je suis assez bonne étudiante .
2149,train,i 'm not worried about you .,je ne me fais pas de souci à votre sujet .
2150,train,i 'm 18 years old .,j'ai dix-huit ans .
2151,train,i 'm not sure what he was thinking .,je ne suis pas certaine de ce qu'il pensait .
2152,train,i 'm looking forward to seeing you soon .,je suis impatient de te voir bientôt .
2153,train,i 'm going to drive myself .,je vais conduire par mes propres moyens .
2154,train,i 'm developing an android application .,je suis en train de développer une application android .
2155,train,i 'm not giving you any more money .,je ne te donnerai pas davantage d'argent .
2156,train,i 'm on the beach playing volleyball .,je suis à la plage en train de jouer au volley-ball .
2157,train,i 'm not that desperate yet .,je ne suis pas encore si désespéré .
2158,train,i 'm not interested in your opinion .,je ne suis pas intéressée par ton opinion .
2159,train,i 'm divorced .,je suis divorcé .
2160,train,i 'm not a professional .,je ne suis pas une professionnelle .
2161,train,i 'm pretty sure i did n't say that .,je suis plutôt sûre que je n'ai pas dit ça .
2162,train,i 'm not at all tired .,je ne suis pas du tout fatigué .
2163,train,i 'm afraid you 'll have to learn to live with the pain .,je crains que tu ne doives apprendre à supporter cette douleur .
2164,train,i 'm not sure of anything .,je ne suis sûr de rien .
2165,train,i 'm not the kind of person that you think i am .,je ne suis pas le genre de personne que tu crois .
2166,train,i 'm glad i invited you .,je suis heureux de t'avoir invité .
2167,train,i 'm a complete idiot .,je suis un idiot complet .
2168,train,i 'm relieving you of duty .,je vous relève de votre service .
2169,train,i 'm going to study for the final exams this afternoon .,je vais travailler pour les examens finaux cet après-midi .
2170,train,i 'm looking for your sister . where is she ?,je cherche ta sœur . où est-elle ?
2171,train,i 'm still the boss around here .,"c'est encore moi le patron , ici ."
2172,train,i 'm from the west coast .,je suis de la côte ouest .
2173,train,"i 'm sorry , but ca n't answer right away .","je suis désolé , mais je ne peux répondre sur-le-champ ."
2174,train,i 'm no quitter .,je n'abandonne pas si facilement .
2175,train,i 'm not impressed .,je ne suis pas impressionnée .
2176,train,i 'm in way over my head .,j'ai des ennuis jusqu'au cou .
2177,train,i 'm too tired to think .,je suis trop fatiguée pour réfléchir .
2178,train,"i 'm sorry , but i ca n't find the book you lent me .",je suis désolé mais je n'arrive pas à trouver le livre que tu m'as prêté .
2179,train,i 'm a foreigner .,je suis un étranger .
2180,train,i 'm as old as you .,je suis aussi âgé que toi .
2181,train,i 'm sure you 'll do very well .,je suis sûre que vous vous en sortirez très bien .
2182,train,i 'm all set .,je suis tout à fait prêt .
2183,train,i 'm dissatisfied .,je ne suis pas satisfait .
2184,train,i 'm getting off the train at the next stop .,je descends du train à la prochaine station .
2185,train,i 'm pleased with his performance .,je suis satisfait de sa performance .
2186,train,i 'm the oldest .,je suis la plus vieille .
2187,train,i 'm sorry that i 've made you so unhappy .,je suis désolé de t'avoir rendue si malheureuse .
2188,train,i 'm not ready to go yet .,je ne suis pas encore prêt à y aller .
2189,train,i 'm sorry for calling so late . i just wanted to hear your voice .,je suis désolée d'appeler si tard . je voulais juste entendre votre voix .
2190,train,i 'm not going .,je n ' y vais pas .
2191,train,i 'm trying to talk to you .,je tente de vous parler .
2192,train,i 'm working for mcdonald 's .,je travaille chez mcdonald 's .
2193,train,i 'm no friend of yours .,je ne compte pas au nombre de vos amis .
2194,train,i 'm ready for tomorrow .,je suis prêt pour demain .
2195,train,i 'm creative .,je suis créatif .
2196,train,i 'm humble .,je suis humble .
2197,train,i 'm lucky to have you as a friend .,je suis chanceuse de vous avoir comme amie .
2198,train,i 'm getting along with my mother-in-law very well .,je m'entends très bien avec ma belle-mère .
2199,train,i 'm leaving tonight for australia .,je pars ce soir pour l'australie .
2200,train,i 'm capable of dealing with problems like this myself .,je suis capable de traiter de tels problèmes par moi-même .
2201,train,i 'm going to put a curse on you .,je vais lancer sur toi une malédiction .
2202,train,i 'm happy the game is over .,je suis heureux que le jeu soit fini .
2203,train,i 'm wide awake .,je suis tout à fait éveillé .
2204,train,i 'm 19 .,j'ai 19 ans .
2205,train,i 'm not your father .,je ne suis pas ton père .
2206,train,i 'm writing a letter .,j'écris une lettre .
2207,train,i 'm really not up on recent tv shows .,je ne m ' y connais pas vraiment en émissions de télévision récentes .
2208,train,i 'm ready for a break .,je suis prêt pour une pause .
2209,train,i 'm sure i can find something for you to do .,je suis certain de pouvoir vous trouver quelque chose à faire .
2210,train,i 'm not done with you .,je n'en ai pas fini avec toi .
2211,train,"i 'm sorry to disturb you , but there 's a phone call for you .","je suis désolé de te déranger , mais il y a un appel téléphonique pour toi ."
2212,train,i 'm hitting the road .,je me casse .
2213,train,i 'm getting old .,je me fais vieux .
2214,train,i 'm staying with you .,je reste avec toi .
2215,train,i 'm reading things like famous novels which have been rewritten in simplified french .,"je lis par exemple des romans célèbres , réécrits en français simplifié ."
2216,train,i 'm afraid of earthquakes .,j'ai peur des tremblements de terre .
2217,train,"i 'm sorry , but you need to leave .","je suis désolée , mais vous devez partir ."
2218,train,i 'm not supposed to drink .,je ne suis pas supposé boire .
2219,train,i 'm sure i turned off the gas .,je suis certain d'avoir fermé le gaz .
2220,train,i 'm truly sorry .,je suis sincèrement désolée .
2221,train,i 'm sure .,j'en suis certain .
2222,train,i 'm not sure he wants to talk to me .,je ne suis pas sûr qu'il veuille s'entretenir avec moi .
2223,train,i 'm not sure i can trust you .,je ne suis pas sûre que je puisse me fier à vous .
2224,train,i 'm going to buy a new car .,je compte m'acheter une nouvelle voiture .
2225,train,i 'm sorry that i ca n't meet you tonight .,je suis désolé de ne pas pouvoir te rencontrer ce soir .
2226,train,i 'm glad i make you happy .,je me réjouis de vous contenter .
2227,train,i 'm not tall .,je ne suis pas grand .
2228,train,i 'm leaving tonight .,je pars ce soir .
2229,train,i 'm well acquainted with tom .,je connais bien tom .
2230,train,"i 'm sorry , i could n't hear you .","je suis désolée , je n'ai pas pu t'entendre ."
2231,train,i 'm looking forward to the next time .,je suis impatiente de la prochaine fois .
2232,train,i 'm not going to play this game .,je ne vais pas jouer à ce jeu .
2233,train,i 'm worried about him .,je suis inquiet pour lui .
2234,train,i 'm able to run .,je peux courir .
2235,train,i 'm sorry about yesterday .,je suis désolée à propos d'hier .
2236,train,i 'm a member of the team .,je suis membre de l'équipe .
2237,train,i 'm innocent .,je suis ingénue .
2238,train,i 'm about ready .,je suis quasiment prête .
2239,train,i 'm sorry if i frightened you .,je suis désolé si je vous ai effrayée .
2240,train,i 'm really sleepy .,j'ai vraiment sommeil .
2241,train,i 'm allergic to some medicine .,je suis allergique à quelques médicaments .
2242,train,i 'm strong .,je suis fort .
2243,train,i 'm not married anymore .,je ne suis plus mariée .
2244,train,i 'm not arguing .,je ne me dispute pas .
2245,train,i 'm reformed .,je me suis amendé .
2246,train,i 'm really happy .,je suis vraiment content .
2247,train,i 'm feeling low .,je me sens abattue .
2248,train,i 'm not good at public speaking .,je ne suis pas bonne pour parler en public .
2249,train,i 'm not as happy now .,je suis moins heureux maintenant .
2250,train,i 'm right behind you .,je me trouve juste derrière toi .
2251,train,i 'm not scared of anybody .,je ne crains personne .
2252,train,i 'm beginning to lose patience .,je commence à perdre patience .
2253,train,i 'm counting on your help .,je compte sur votre aide .
2254,train,i 'm just a plain old office worker .,je ne suis qu'un simple employé de bureau .
2255,train,"i 'm sorry , but i do n't have any small change .",je suis désolé mais je n'ai pas la moindre petite monnaie .
2256,train,i 'm glad someone told me .,je suis contente que quelqu'un m'en ait informé .
2257,train,i 'm satisfied with his progress .,je suis satisfait de ses progrès .
2258,train,i 'm very sad .,je suis très triste .
2259,train,i 'm sorry if my being here embarrasses you .,je suis désolée si ma présence vous embarrasse .
2260,train,i 'm not sure what happened .,je ne suis pas sûre de ce qui s'est passé .
2261,train,i 'm not used to this heat .,je ne suis pas habitué à cette chaleur .
2262,train,i 'm fasting .,je fais la diète .
2263,train,i 'm afraid i took the wrong train .,j'ai peur d'avoir pris le mauvais train .
2264,train,i 'm right in the middle of doing something .,je suis en plein en train de faire quelque chose .
2265,train,i 'm not very good at chess .,je ne suis pas très bon aux échecs .
2266,train,i 'm afraid i 've offended you .,je crains de vous avoir offensé .
2267,train,i 'm afraid we 'll lose the game .,je crains que nous perdions la partie .
2268,train,i 'm glad i invited you .,je suis heureux de vous avoir invitée .
2269,train,i 'm with exactly who i want to be with .,je suis précisément avec la personne avec laquelle je souhaite me trouver .
2270,train,i 'm free today .,je suis libre aujourd'hui .
2271,train,i 'm prejudiced .,j'ai des préjugés .
2272,train,i 'm not sure about that .,je n'en suis pas sûre .
2273,train,i 'm going to have to change my schedule .,je vais devoir changer mon emploi du temps .
2274,train,i 'm indebted to you .,j'ai une dette envers toi .
2275,train,i 'm now unarmed .,je ne suis pas actuellement armé .
2276,train,i 'm too busy to help her .,je suis trop occupé pour l'aider .
2277,train,i 'm usually not this busy .,je ne suis pas si occupé d'habitude .
2278,train,i 'm getting the hang of this new machine .,je me fais à cette nouvelle machine .
2279,train,i 'm not in a party mood .,je ne suis pas d'humeur à faire la fête .
2280,train,i 'm tired of listening to your bragging .,j'en ai assez d'écouter tes rodomontades .
2281,train,i 'm not a magician .,je ne suis pas magicien .
2282,train,i 'm frantic .,je suis affolée .
2283,train,i 'm busy getting ready for tomorrow .,je suis occupé à me préparer pour demain .
2284,train,i 'm going to give you one more chance .,je vais te donner une chance supplémentaire .
2285,train,i 'm not a violent person .,je ne suis pas une personne violente .
2286,train,i 'm not telling you again .,je ne vais pas te le répéter .
2287,train,i 'm no friend of yours .,je ne suis pas votre ami .
2288,train,i 'm not that surprised by it .,je n'en suis pas trop étonnée .
2289,train,i 'm still not sure i can do that .,je ne suis toujours pas sûre que je puisse faire ça .
2290,train,i 'm serious .,je suis sérieux .
2291,train,"i 'm tired , but i 'll study hard .","je suis fatigué , mais je vais étudier avec application ."
2292,train,i 'm sure tom is suffering .,je suis certaine que tom souffre .
2293,train,i 'm glad you did n't call tom .,je suis content que vous n'ayez pas appelé tom .
2294,train,i 'm not sure i can trust him .,je ne suis pas sûre que je puisse me fier à lui .
2295,train,i 'm well .,je vais bien .
2296,train,i 'm not naive .,je ne suis pas naïve .
2297,train,i 'm trying to talk to you .,j'essaie de vous parler .
2298,train,i 'm not outgoing .,je ne suis pas extraverti .
2299,train,i 'm too tired to go out jogging .,je suis trop fatigué pour sortir courir .
2300,train,i 'm replaceable .,je suis remplaçable .
2301,train,i 'm nervous when speaking in another language .,je suis nerveuse lorsque je parle une autre langue .
2302,train,i 'm going to see tom .,je vais voir tom .
2303,train,i 'm not busy .,je ne suis pas occupé .
2304,train,i 'm not allowed to help you .,je ne suis pas autorisée à vous aider .
2305,train,i 'm not ashamed that i am poor .,je n'ai pas honte d'être pauvre .
2306,train,i 'm beginning to hate her .,je commence à la détester .
2307,train,i 'm secretly in love with someone else 's wife .,je suis secrètement amoureux de la femme de quelqu'un d'autre .
2308,train,i 'm coming right away .,j'arrive immédiatement .
2309,train,i 'm prepared .,je suis préparé .
2310,train,i 'm counting on your help .,je compte sur ton aide .
2311,train,"i 'm not a doctor , but a teacher .","je ne suis pas médecin , mais professeur ."
2312,train,i 'm too sleepy to do my homework .,j'ai trop sommeil pour faire mes devoirs .
2313,train,i 'm going to see her tomorrow .,j'irai la voir demain .
2314,train,i 'm looking forward to seeing your father .,je suis impatient de voir ton père .
2315,train,i 'm just a plain office worker .,je suis un simple employé de bureau .
2316,train,i 'm not desperate .,je ne suis pas désespérée .
2317,train,i 'm glad you liked it .,je suis heureux que tu l'aies aimé .
2318,train,i 'm managing .,je m'en sors .
2319,train,i 'm in pain every minute of every day .,je souffre chaque minute de chaque jour .
2320,train,i 'm glad you 're coming .,je suis heureux que tu viennes .
2321,train,i 'm disappointed that he 's not here .,je suis déçu qu'il ne soit pas là .
2322,train,i 'm going to have to call you right back .,je vais devoir vous rappeler de suite .
2323,train,"i 'm not a university student , but i 'm brighter than them .","je ne suis pas étudiant , mais je suis plus intelligent qu'eux ."
2324,train,"i 'm not sure , but he might come .","je n'en suis pas certain , mais il se pourrait qu'il vienne ."
2325,train,i 'm not racist .,je ne suis pas raciste .
2326,train,i 'm looking forward to hearing from you .,j'attends de vos nouvelles .
2327,train,i 'm not good enough for you .,je ne suis pas assez bonne pour vous .
2328,train,i 'm not married yet .,je ne suis pas encore marié .
2329,train,i 'm sure he mistook me for my sister .,je suis sûre qu'il m ' a confondue avec ma sœur .
2330,train,i 'm only doing this for your own good .,je ne le fais que pour ton bien .
2331,train,i 'm not a soldier .,je ne suis pas soldat .
2332,train,i 'm willing to help you if you want me to .,"je suis prête à t'aider , si tu veux que je le fasse ."
2333,train,i 'm addicted .,je suis drogué .
2334,train,i 'm willing to help you if you want me to .,"je suis disposé à vous aider , si vous voulez que je le fasse ."
2335,train,i 'm not in a mood to go out .,je ne suis pas d'humeur à sortir .
2336,train,i 'm no longer sleepy .,je n'ai plus sommeil .
2337,train,i 'm not going to go to school today .,je ne vais pas aller à l'école aujourd'hui .
2338,train,i 'm not even sure i want to see that movie .,je ne suis même pas sûr de vouloir voir ce film .
2339,train,i 'm very impressed by your work .,je suis très impressionné par votre travail .
2340,train,i 'm not leaving the two of you alone .,je ne vous laisse pas seuls tous les deux .
2341,train,i 'm certain .,je suis sûr .
2342,train,i 'm charmed to meet you .,je suis enchanté de vous rencontrer .
2343,train,i 'm fed up with her .,j'en ai marre d'elle .
2344,train,i 'm kind of happy .,je suis pour ainsi dire heureux .
2345,train,i 'm not convinced at all .,je ne suis pas du tout convaincue .
2346,train,i 'm not afraid of death .,je n'ai pas peur de la mort .
2347,train,i 'm going to get on the next bus .,je vais prendre le bus suivant .
2348,train,i 'm not ashamed of who i am .,je n'ai pas honte de ce que je suis .
2349,train,i 'm good for now .,c'est bon pour moi pour l'instant .
2350,train,i 'm not sure about it .,je n'en suis pas sûr .
2351,train,i 'm shorter than you .,je suis plus petit que toi .
2352,train,i 'm not the least bit worried about losing my job .,je ne suis pas le moins du monde préoccupé de perdre mon boulot .
2353,train,i 'm lucky to have you as a friend .,je suis chanceuse de vous avoir pour ami .
2354,train,i 'm very modest .,je suis fort modeste .
2355,train,i 'm pretty sure that i 've left the keys to my office in my raincoat pocket .,je crois bien que j'ai oublié mes clés de bureau dans la poche de mon imperméable .
2356,train,i 'm only going to say this once .,je ne le dirai pas deux fois .
2357,train,"i 'm really busy , tom .","je suis très occupée , tom ."
2358,train,"i 'm sorry , i 'm busy right now .","je suis désolé , je suis occupé pour l'instant ."
2359,train,i 'm feeling kind of tired .,je me sens un peu fatigué .
2360,train,i 'm very disappointed in you .,tu me déçois vraiment .
2361,train,i 'm sure it 's around here somewhere .,je suis sûr que c'est quelque part dans le coin .
2362,train,i 'm sensitive .,je suis sensible .
2363,train,i 'm not sure i can trust him .,je ne suis pas sûr que je puisse lui faire confiance .
2364,train,i 'm not asleep .,je ne suis pas endormi .
2365,train,"i 'm a beginner , too .",moi aussi je suis débutant .
2366,train,i 'm not writing about you .,je n'écris pas à votre sujet .
2367,train,i 'm not proud of that .,je n'en suis pas fier .
2368,train,i 'm sure everything will work out just fine .,je suis sûr que tout va rouler .
2369,train,i 'm sorry i hurt you .,je suis désolé de vous avoir blessée .
2370,train,i 'm still waiting for my order .,j'attends toujours pour ma commande .
2371,train,i 'm sick of english .,je n'en peux plus de l'anglais .
2372,train,i 'm not really that old .,je ne suis pas vraiment aussi vieille .
2373,train,i 'm not sure i like this .,je ne suis pas sûre d'aimer ça .
2374,train,i 'm retired .,je suis pensionné .
2375,train,i 'm not allowed to say anything .,je ne suis pas autorisée à dire quoi que ce soit .
2376,train,i 'm your partner .,je suis votre partenaire .
2377,train,i 'm taking an exam in january .,je passe un examen en janvier .
2378,train,i 'm sure tom had a good reason .,je suis sûr que tom avait une bonne raison .
2379,train,"i 'm sorry , i do n't understand .","je suis désolée , je ne comprends pas ."
2380,train,i 'm really impressed with the way tom plays the saxophone .,je suis vraiment impressionnée par la façon dont tom joue du saxophone .
2381,train,i 'm saving money for a car .,j'épargne pour une voiture .
2382,train,"i 'm only going to say this once , so listen carefully .","je ne vais dire ceci qu'une seule fois , alors écoutez avec attention !"
2383,train,i 'm from bulgaria .,je viens de bulgarie .
2384,train,i 'm not sure i 'm ready to do this .,je ne suis pas sûr d'être prêt à le faire .
2385,train,i 'm not sure i 'm ready for this .,je ne suis pas sûre d ' y être prête .
2386,train,i 'm just curious .,je suis juste curieux .
2387,train,i 'm not dangerous .,je ne suis pas dangereux .
2388,train,"i 'm sorry , i do n't buy it .","je suis désolé , je ne gobe pas ça ."
2389,train,"i 'm not angry at you , just very disappointed .","je ne suis pas en colère après toi , seulement très déçue ."
2390,train,i 'm already married .,je suis déjà mariée .
2391,train,i 'm done with you .,j'en ai fini avec toi .
2392,train,i 'm accustomed to this .,j'en suis familier .
2393,train,i 'm very happy now .,je suis très heureux maintenant .
2394,train,i 'm very glad to finally meet you .,je suis ravie de te rencontrer enfin .
2395,train,i 'm afraid something is wrong with my watch .,je crains que quelque chose n'aille pas avec ma montre .
2396,train,i 'm not english .,je ne suis pas anglais .
2397,train,i 'm in the attic .,je suis au grenier .
2398,train,i 'm not as intelligent as he is .,je ne suis pas plus intelligent que lui .
